** altchain-pool          altchain-pool-stats-reporter-prod-config                           2      119d
altchain-pool          kube-root-ca.crt                                                   1      43d
altchain               altchain-ingress-nginx-ingress-controller                          1      504d
altchain               altchain-ingress-tcp-services                                      3      504d
altchain               ingress-controller-leader                                          0      43d
altchain               ingress-controller-leader-altchain                                 0      504d
altchain               ingress-controller-leader-nginx                                    0      504d
altchain               ingress-nginx-1629946369-controller                                0      43d
altchain               ingress-nginx-tcp-services                                         3      43d
altchain               kube-root-ca.crt                                                   1      43d
blockchain             cfx-stratum                                                        3      153d
blockchain             chord-pool                                                         3      344d
blockchain             kube-root-ca.crt                                                   1      43d
blockchain             stratum                                                            1      678d
** bminer                 bminer-backend                                                     3      715d
bminer                 bminer-com-ingress-nginx-controller                                0      515d
bminer                 bminer-com-ingress-nginx-ingress-controller                        6      556d
bminer                 bminer-com-tcp-services                                            7      557d
** bminer                 bminer-operation                                                   1      561d
** bminer                 bminer-operation-madminer                                          1      136d
** bminer                 bminer-operation-staging                                           1      401d
bminer                 bminer-operation-webserver                                         1      571d
bminer                 bminer-operation-webserver-madminer                                1      136d
bminer                 bminer-operation-webserver-staging                                 1      401d
bminer                 ingress-controller-leader-alb                                      0      479d
bminer                 ingress-controller-leader-nginx                                    0      557d
bminer                 kube-root-ca.crt                                                   1      43d
** bminer                 mining-pool                                                        1      357d
bminer                 mining-pool-webserver                                              1      357d
bminer                 progpow-kernel-cleaner                                             1      483d
bminer                 stratum-backend                                                    1      363d
data                   athena-to-clickhouse-algorithm-reward-config                       1      376d
data                   athena-to-clickhouse-bminer-card-max-reward-config                 1      382d
data                   athena-to-clickhouse-bminer-card-reward-config                     1      383d
data                   athena-to-clickhouse-bminer-revenue-config                         1      72d
data                   athena-to-clickhouse-coin-reward-info-config                       1      396d
data                   athena-to-clickhouse-miner-pool-reward-config                      1      378d
data                   bee-pool-reporter                                                  1      189d
data                   chi-miner-stats-common-configd                                     8      53m
data                   chi-miner-stats-common-usersd                                      3      53m
data                   chi-miner-stats-deploy-confd-clickhouse-0-0                        1      53m
data                   chi-version-update-common-configd                                  7      53m
data                   chi-version-update-common-usersd                                   3      53m
data                   chi-version-update-deploy-confd-update-0-0                         1      53m
data                   chi-version-update-deploy-confd-update-0-1                         1      52m
data                   chi-version-update-deploy-confd-update-0-2                         1      52m
data                   clickhouse-tables-config                                           1      365d
** data                   conflux-block-validate                                             1      229d
data                   conflux-mined-block-reporter                                       1      339d
