2021-05-28 18:15:50,014 [Dummy-1:139811949033216] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:15:50,016 [Dummy-1:139811949033216] [django.db.backends:111] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:15:50,020 [Dummy-1:139811949033216] [django.db.backends:111] [DEBUG]- (0.004) SHOW FULL TABLES; args=None
2021-05-28 18:15:50,027 [Dummy-1:139811949033216] [django.db.backends:111] [DEBUG]- (0.002) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:15:52,355 [Dummy-1:140326740707072] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:15:52,356 [Dummy-1:140326740707072] [django.db.backends:111] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:15:52,357 [Dummy-1:140326740707072] [django.db.backends:111] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2021-05-28 18:15:52,361 [Dummy-1:140326740707072] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:15:54,671 [Dummy-1:140442975901440] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:15:54,672 [Dummy-1:140442975901440] [django.db.backends:111] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:15:54,674 [Dummy-1:140442975901440] [django.db.backends:111] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2021-05-28 18:15:54,679 [Dummy-1:140442975901440] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:15:57,054 [Dummy-1:140461990110976] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:15:57,055 [Dummy-1:140461990110976] [django.db.backends:111] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:15:57,057 [Dummy-1:140461990110976] [django.db.backends:111] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2021-05-28 18:15:57,063 [Dummy-1:140461990110976] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:15:59,381 [Dummy-1:140247121004288] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
